q,r3,k,parity,type,index,branch,mult,f,w,eps_level0,eps_extrapolated,interpolated
3.56000000000000000e+02,1.44000000000000000e+02,4.71699056602830158e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,5.76000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.14168036349025748e+01,-1.14168036349025748e+01,0.00000000000000000e+00
2.68000000000000000e+02,2.40000000000000000e+01,4.09267638593622518e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.14125747455615620e+01,-1.14125747455615620e+01,0.00000000000000000e+00
3.55000000000000000e+02,9.60000000000000000e+01,4.71036092035419340e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.14074194768344626e+01,-1.14074194768344626e+01,0.00000000000000000e+00
2.67000000000000000e+02,4.80000000000000000e+01,4.08503365959204778e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.92000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.14009198989749461e+01,-1.14009198989749461e+01,0.00000000000000000e+00
3.54000000000000000e+02,1.92000000000000000e+02,4.70372193055669463e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,7.68000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.13980194468284015e+01,-1.13980194468284015e+01,0.00000000000000000e+00
2.66000000000000000e+02,2.40000000000000000e+02,4.07737660757502240e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,9.60000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.13892380796752377e+01,-1.13892380796752377e+01,0.00000000000000000e+00
3.53000000000000000e+02,1.92000000000000000e+02,4.69707355701398388e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,7.68000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.13886034716125284e+01,-1.13886034716125284e+01,0.00000000000000000e+00
3.52000000000000000e+02,2.40000000000000000e+01,4.69041575982342973e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.13791714773650057e+01,-1.13791714773650057e+01,0.00000000000000000e+00
2.65000000000000000e+02,9.60000000000000000e+01,4.06970514902492653e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.13775291199574919e+01,-1.13775291199574919e+01,0.00000000000000000e+00
2.64000000000000000e+02,9.60000000000000000e+01,4.06201920231798042e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.13657928504270576e+01,-1.13657928504270576e+01,0.00000000000000000e+00
